Index|Romaji construction|Kana construction|Alternate Spellings|Common|Extra keywords Jap|Preposition|Kanji Root|Latin Root|Exception index|MeaningEN|Extra keywordsEN|MeaningFR|Extra keywordsFR|MeaningES|Extra keywordsES
17911|kereba|～ければ||1|kereba desu, keiyoushi, i keiyoushi|||||361|i-adjective, conditional|387|conditionnel|376|condicional
17912|karou|～かろう||1|keiyoushi, i keiyoushi|||||362|i-adjective, volitional, suggestive|388|volitif, suggestif|377|volitivo, sugerente.
17913|sa|～さ||1|keiyoushi, i keiyoushi|||||6197|i-adjective|389||378|
17914|[root]|～||1|keiyoudoushi, na keiyoushi|||||363|na-adjective|390||379|
17915|desu|～です||1|keiyoudoushi, na keiyoushi|||||364|na-adjective|391||380|
17916|dewa arimasen|～ではありません||1|keiyoudoushi, na keiyoushi|||||365|na-adjective|392||381|
17917|ja nai desu|～じゃないです||1|keiyoudoushi, na keiyoushi|||||366|na-adjective|393||382|
17918|dewa nai|～ではない||1|keiyoudoushi, na keiyoushi|||||367;643|na-adjective, am not, is not|394;395|na-adjectif, ne suis pas, n'est pas|383;384|no soy, no es
17919|ja nai|～じゃない||1|keiyoudoushi, na keiyoushi|||||368|na-adjective|396||385|
17920|deshita|～でした||1|keiyoudoushi, na keiyoushi|||||369|na-adjective|397||386|
17921|ja arimasen deshita|～じゃありませんでした||1|keiyoudoushi, na keiyoushi|||||370|na-adjective|398||387|
17922|de wa arimasen deshita|～じゃありませんでした||1|keiyoudoushi, na keiyoushi|||||371|na-adjective|399||388|
17923|de (next adj.)|～で||1|keiyoudoushi, na keiyoushi|||||372|na-adjective|400||389|
17924|demo|～くて||1|keiyoudoushi, na keiyoushi|||||6207|na-adjective|401||390|
17925|ni naru|～になる||1|keiyoudoushi, na keiyoushi|||||373|na-adjective|402||391|
17926|ni suru|～にする||1|keiyoudoushi, na keiyoushi|||||374|na-adjective|403||392|
17927|deareba|～であれば||1|deareba desu, keiyoudoushi, na keiyoushi|||||375|na-adjective, conditional|404|conditionnel|393|condicional
17928|yotei da|～予定だ||1|to yotei da, to yotei desu|||||6149||405||394|
17929|ni kyoumi ga aru|～に興味がある||1||||||6612||406||395|
17930|dewa nakatta|～ではなかった||1||||||6883||407||396|
17931|n janai|～んじゃない||1||||||703|isn't he, isn't she, aren't you|515|n'est il pas, n'est elle pas, n'ais tu pas, n'êtes vous pas|509|no son, no estan
17932|no dewanai|～のではない||1||||||711|isn't he, isn't she, aren't you|516|n'est il pas, n'est elle pas, n'ais tu pas, n'êtes vous pas|510|no son, no estan
