MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
78|don't|VC|Don't X. You are ordered not to [do/be] X.|X na @ X = verb plain form|||
79|hey, listen, you|OI|||||
80|now, ..., well, ..., I tell you!, you know|OI|||||
81|wow, ooh|OI|||||
82|question marker, yes?, no?, isn't it?, is it?|PP|ME#0053;0054;0055||||
83|or|PP|X or Y.|X ka Y @ X/Y = noun|810||
84|indicates doubt about the object|PC|I don't Y if X is ...|X ka Y @ X = question, Y = know/think/believe/etc..|1015||
85|either … or|PP|either X or Y. "ka" is stated after each option.|X ka Y ka @ X = phrase|811||
86|some- (e.g. something, someone)|PP|||||
87|hmm, huh|OI|||||
88|very|Px|Emphatic prefix, usu. before an adjective.||||
89|-al, -ial, -ic, -ical, -ish, -y|Sx|Suffix forming adjectives or adverbs, after an indeclinable word.||||
90|as for in|PP|As for in X, … . Combination of "de" indicating location and "wa" as a subject marker.|X de wa @ X = noun|1444||
91|then, well, so, well then|CO|||1232||
92|don't know if yes or no, whether or not|PP|ME#0056;0057||||
93|emphasis|PP|Used at the end of a sentence to emphasize it.|X ga|812||
94|indicates sentence object|PP|ME#0059;0063||||
95|indicates sentence subject (occasionally object)|PP|ME#0064;0065;0066;0067;0068||||
96|but, however, still|CO|ME#0144;0145||||
97|and|CO|ME#0146;0147;0148||||
98|indicates possessive (esp. in literary expressions)|PP|||||
99|regardless of, whether (or not)|PP|||||
100|Kanji connector|PP|Used to join two kanjis when forming a noun.|X ka/ga Y @ X = kanji, Y = kanji|||
101|counter for the ichi-ni-san counting system (usu. directly preceding the item being counted), noun read using its on-yomi|C|Read as "ka".||||
102|counter for articles|C|Read as "ko".||||
103|indicates possessive (esp. in place names)|PP|Read as "ga".||||
104|indicates emphasis, agreement, request for confirmation, etc., is it so|PP|Use "ne" and "wa ne" for male and female colloquial speech respectively.|X ne? / X wa ne? @ X = phrase|819;820||
105|hey, come on, listen|PP||X ne @ X = phrase|||
106|at (place, time), during, performing a continuous action at a location|PP|Is differentiated from the use of "de" for an action taking place at a location by the long-term continuity of the action, e.g. sleeping at a location.|X ni @ X = noun|823;827||
107|to (direction, state), toward, into|PP||X ni @ X = noun|824;825||
108|and, in addition to|PP||X ni|||
109|per, in, for, a (e.g. "once a month"), frequency or proportion of an action/event|PP||X ni|828||
110|change or resulting condition|PP||X ni|829||
111|object marker for decision verb|PP||X ni|830||
112|object marker for verb in causative active tense|PP|ME#0069;0070||||
113|object marker for giving/receiving verb|PP||X ni|826;831||
114|by, from, subject marker in a passive sentence|PP||X ni|832||
115|as (i.e. in the role of), object marker for person who is allowed/made to do an action|PP||X ni|833||
116|used when comparing/differentiating/estimating|PP||X ni|834||
117|for (purpose)|PP|for the purpose of doing X|X ni|835;1273||
118|made for|PP|made for X|X ni|836||
119|because of (reason), for, with|PP||X ni|837||
120|ability, skill, knowledge|PP||X ni|838||
121|used with manner adverb|PP||X ni|839||
122|lists|PP|Seldom used.|X ni|840||
123|in order to|CO|Do Y in order to [do/be] X.|X ni Y @ X = action verb i-stem, Y = verb|982||
124|by means of|CO|X by means of Y.|X ni Y @ X/Y = action verb|||
125|go/come to do|CO|Go/come to do X.|X ni Y @ X = action verb, Y = kuru/iku/kaeru, no object in between|1064;1065||
126|adverb form of na-adjective|naAC|na-adjective conjugation.|[root] + ni|1092;1093||
127|from the object's point of view|PP||X ni wa|841;842;1269||
