MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
616|quite, really, very, extremely|A;Dg|Used in an affirmative phrase.||||
617|not at all|A;Dg|Used in a negative phrase.||||
618|not at all (with neg. verb)|A;Dg|Use in phrase with negative tense only.||682||metta ni, amari, never
619|not important, doesn't matter|A;Dg|||729;730;731||
620|not less than, ... and more, ... and upwards|A;Dg|||1290||
621|beyond ... (e.g. one's means), further (e.g. nothing further to say), more than ... (e.g. cannot pay more than that)|N;Abs||||ikka|
622|not so much, not very|A;Dg|Used in a negative phrase.||||
623|not often|A;Dg|Use in phrase with negative tense only.||680;681;1464||metta ni, zenzen
624|not very (well)|A;Dg|||1321;1414||
625|remainder, rest, balance, remains, scraps, residue, remnant, surplus, excess|N;Abs|||||
626|not very, not much|A|||||
627|nothing except for|A;Dg|Only used in a negative phrase. Usually used to emphasize that there should be more. Colloquial form: shikia, shikkia.|X shika|651;652;1100;1101||tatta, dake
628|only|A;Dg|||||shika,dake
629|only, nothing but|A;Dg||X nomi|||
630|perfectly, thoroughly, fully, in full|A;Dg|||||
631|plenty, enough, sufficient, adequate, satisfactory|Ana|||||
632|division into ten|N;MSE|||||
633|perhaps, probably, likely, I dare say|A;Dg|||||
634|quite, entirely, completely, at all|A;Dg||X marude|||
635|as if, as though, just like, similar to|PP|When used alone.||||
636|quite, very well|A;Dg|||639||
637|fine, sufficient, tolerable, well enough, OK, reasonable, fair, splendid, nice, wonderful, delicious, sweet, pretty (quantitative)|Ana|Polite form of ii.||||ii, yoi
638|reasonably, fairly well|A;Dg|||||
639|or so, about|Sx|||||
640|relatively|A;Dg|||||
641|roughly, in round numbers|A;Dg|||||
642|somehow or other, for some reason or another|A;Dg|||||
643|to that degree, to that extent|A;Dg|||||
644|to that extent|A;Dg|||||
645|until then, till then, up to that time|A;T|||||
646|to that extent, to that degree|A;Dg|||728||
647|very, awfully, exceedingly|A;Dg|"tottemo" is usually used in a more expressive context than "totemo".||637;1275||
648|very, extremely|A;Dg|||||
649|that is…|CE|||||
650|very, extremely, surprisingly, considerably, awfully, terribly|A;Dg|||1342||
651|very, greatly, terribly, awfully|A;Dg|||638||
652|immense, enormous, great, serious, grave, stressful, terrible, dreadful, difficult, hard|Ana||||yasashii, raku|muzukashii, nukui
653|very, much, greatly, a lot of|A;Dg|||||
654|without omission, in full, fully|A;Dg|||||
655|applauded (to applaud)|Ai|Verb-based, linked to object by "ga" when used with desu verb.||||
656|cruel, heartless, hard, harsh, severe|Ai|"hidee" is used colloquially.|||idai|
657|bad, poor, inferior|Ai||||ii, yoi, kekkou, yoroshii|
658|beautiful, lovely|Ai|||||kirei
659|bitter|Ai|||||
660|black|Ai|||||
661|dark, blackish, sun-tanned (skin)|Ai|||||
662|suspicious, criminal, illicit|Ai|||||
663|darkened and dirty, sooty, covered in dirt|Ai|||||
664|evil, wicked, black-hearted|Ai|||||
665|inauspicious, ill-boding, unlucky|Ai|||||
666|blue, azure|Ai|||||
667|green|Ai|||||
668|pale, gray, grey|Ai|||||
669|unripe, inexperienced|Ai|||||
670|boring, uninteresting|Ai||||omoshiroi, tanoshii|
671|colorful|Ai||||kurai|
672|brown|Ai|||||
673|busy, occupied, hectic|Ai||||hima, jiyuu|
674|careless, thoughtless|Ai|||||
675|charming, bewitching, mysterious|Ai|||||
676|cheap, inexpensive|Ai||||takai|
677|cold (object)|Ai||||atatakai, atsui|samui, suzushii
678|cold (ambient temperature)|Ai||||atsui, atatakai|suzushii, tsumetai
679|convenient|Ai|||||
680|cool, refreshing|Ai|Used for weather.|||atatakai, atsui|samui, tsumetai
681|coarse, rough|Ai|||||
682|dangerous, risky, awful, terrible, crap, terrific, amazing, cool|Ai|Used colloquially.||||
683|dangerous, risky, hazardous, perilous, precarious|Ai|||||
684|in danger, in jeopardy, critical, grave, at risk|Ai|||||
685|uncertain, unreliable, insecure, unsteady, doubtful|Ai|||||
686|close (i.e. a close call), narrow|Ai|||||
687|dangerous, risky, hazardous, perilous, precarious|Ai||||anzen|
688|close (i.e. a close call), narrow|Ai|||||
689|sorrowful, bitter, unclear, unknown|Ai||||akarui|
690|dear, desired, missed|Ai||||apart from|
691|deep (color), dark, strong (flavor, smell, etc.)|Ai||||usui|
692|thick (i.e. "as thick as thieves"), close, deep (love, etc.)|Ai|||||
693|deep|Ai||||浅い|
694|delicious, appetizing, appetising|Ai|||||
695|deserted, empty of people|Ai|||||
696|detailed, full, accurate, knowing very well, well-acquainted, well-informed|Ai|||||
697|hard to do ...|Sx|||1117;1118;1319||
698|difficult to ..., hard to ...|Aj||||yasashii, kantan|muzukashii, taihen
699|difficult, hard, troublesome, complicated, serious (disease, problem, etc.)|Ai||||yasashii, kantan|nikui, taihen
700|dim, gloomy|Ai|||||
701|distinguished, great|Ai|||||
702|divine, sublime, solemn|Ai|||||
703|dull (e.g. knife, sound), blunt, dim, slow, sluggish, inert, lethargic|Ai|||||
704|fast, quick, hasty, brisk|Ai||||osoi|
705|easy|Ai|||||
706|easy, plain, simple|Ai||||muzukashii, nikui, taihen|
707|envious, jealous, enviable|Ai|||||
708|similar|Ai|||||
709|expensive, high-priced|Ai||||yasui|
710|tall (object), high|Ai|||||
711|far, distant|Ai||||chikai|
712|fortunate, splendid, promising|Ai|||||
713|friendly, tender, kind, gentle, graceful, affectionate, amiable, suave, sweet|Ai||||shinsetsu|fushinsetsu
714|enjoyable, fun, pleasant, happy, delightful|Ai||||tsumaranai|
715|good, excellent, fine, nice, pleasant, agreeable, ok, all right|Ai|||||
716|sufficient (can be used to turn down an offer), ready, prepared|Ai|||||
717|profitable (e.g. deal, business offer, etc.), beneficial|Ai|||||
718|OK|Ai|||||
719|good, excellent, fine, nice, pleasant, agreeable|Ai|||||
720|pleased|Ai||||kanashii|
721|happy, glad, pleasant|Ai|||||
722|heavy, weighty, massive|Ai||||karui|
723|important, serious, grave|Ai|||||
724|serious, severe, critical|Ai|||||
725|hot (object)|Ai|Used for objects.||||
726|huge, big, gargantuan|Ai|||||
727|impious, profane, sacrilegious|Ai|||||
728|insistent, obstinate, persistent, tenacious, too rich (e.g. in taste)|Ai|||||
729|too rich (taste, etc.), fatty, heavy, greasy|Ai|||||
730|interesting, fascinating, intriguing, enthralling|Ai||||tsumaranai|
731|pleasant, enjoyable, agreeable, fun|Ai|||||
732|long (distance)|Ai||||mijikai|
733|loose, lenient, lax, gentle (e.g. curve, slope), slow, weak, soft|Ai||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa
734|low (rank, degree, value, content, quality, etc.)|Ai||||takai|
735|narrow, confined, not spacious|Ai||||hiroi|
736|nasty, disgusting, disagreeable, creepy|Ai|||||
737|nearby|Ai||||tooi|
738|similar, likeworthy, almost the same|Ai|||||
739|new, novel, fresh, recent, latest, up-to-date, modern|Ai||||furui|arata, wakai
740|nice, likeable, desirable|Ai|||||
741|no match for|Ai|||||
742|noisy, boisterous, strict, fault-finding, carping, fussy|Ai|||||
743|not fresh, late|Ai||||atarashii, wakai|
744|rough|Ai|||||
745|painful, bitter, heartbreaking, difficult (emotionally)|Ai|||||
746|tough, difficult, hard (usu. of situations)|Ai|||||
747|cruel, harsh, cold|Ai|||||
748|agonizing|Ai|||||
749|needy, tight (budget), straitened (circumstances)|Ai|||||
750|forced (smile, joke), lame (excuse), strained (interpretation)|Ai|||||
751|awkward (situation), painful (position)|Ai|||||
752|painful, heartrending, trying, oppressive, suffocating, miserable|Ai|||||
753|poor, needy|Ai||||okanemochi|binbou
754|powerful, strong, forceful, vigorous, reassuring, encouraging|Ai|||||
755|proud, haughty, arrogant, splendid, magnificent|Ai|||||
756|puzzling, tangled, complicated, complex|Ai|||||
757|quick, fast|Ai|||||
758|red, crimson, scarlet, vermilion, vermillion|Ai|||||
759|Red, communist|Ai|||||
760|beautiful|Ai|||||
761|regretful, irresolute, stubborn (not giving up)|Ai|||||
762|regrettable, disappointing, precious, dear, valuable, too good for, deserving better, almost but not quite|Ai|||||
763|relaxed, familiar, easy to access, friendly|Ai|||||
764|reliable, trustworthy, hopeful, promising|Ai|||||
765|straightforward, perfect|Ai|||||
766|rough, wild|Ai|||||
767|sad, sorrowful, unhappy|Ai||||ureshi|
768|salty|Ai|||||
769|few, a little, scarce, insufficient, seldom|Ai||||ooi|
770|severe, strict, rigid, unsparing, relentless, stern, austere, grave, solemn|Ai|||||
771|intense (e.g. cold), harsh, tough|Ai|||||
772|shallow, superficial|Ai||||fukai|
773|short|Ai||||nagai|
774|short & simple|Ai|||||
775|short (person)|Ai||||se ga takai|
776|sleepy, drowsy, somnolent|Ai|||||
777|slow, time-consuming, sluggish|Ai||||hayai|
778|small, fine, minute, minor, trivial, sensitive, attentive|Ai|||||
779|soft, tender, pliant, supple, limber, limp|Ai||||katai|
780|soft, weak|Ai||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, nayocchii, kasuka, hijaku, yawa
781|sour, acid|Ai|||||
782|spicy, hot|Ai|||||
783|salty|Ai|||||
784|harsh (criticism), severe (punishment), strict|Ai|||||
785|painful, bitter, difficult, tough|Ai|||||
786|stiff, tight, wooden, formal, bookish|Ai|||||
787|stinky, suspicious, fishy|Ai|||||
788|strong, potent, competent, domineering, tough|Ai||||yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa|joubu, kyouryoku
789|strong, firm, tough|Ai||||yawarakai|
790|sweet-tasting, sweet, sugary, sugared|Ai|||||
791|fragrant (smelling), sweet (music)|Ai|||||
792|lightly salted, light in salt, not spicy|Ai|||||
793|naive, overly optimistic, soft on, generous, indulgent, easy-going, lenient|Ai|||||
794|half-hearted, not finished properly|Ai|||||
795|insufficient, not satisfactory, inadequate, loose|Ai|||||
796|mild|Ai|||||
797|tempting, enticing, luring|Ai|||||
798|tall (person)|Ai||||se ga hikui|
799|tasteless, nasty, tasting bad, disgusting|Ai||||oishii|
800|unappetising, unappetizing, unsavoury, unsavory, unpleasant|Ai|||||
801|unskillful, unskilful, bungling, clumsy, poor|Ai|||||
802|delicious, tasty, sweet|Ai||||mazui|
803|terrible, dreadful, terrifying, frightening, frightened, surprising, startling, tremendous, amazing|Ai|||||
804|fat, thick|Ai||||usui, hosoi|
805|thickheaded, obtuse, stupid, indulgent (esp. to the opposite sex), doting|Ai|||||
806|thin, pale light, dilute, weak (e.g. taste)|Ai||||tsuyoi, koi, joubu, futoi|hosoi, yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa
807|thin, slender, fine|Ai|Used to describe road widths, people, etc.||||usui
808|(too) tight, constricting, close|Ai||||yurui|
809|hard on the eyes|Ai||||rippa|
810|uncomfortable|Ai||||kaiteki|
811|unusual, rare, curious, weird|Ai|||||
812|visible, understandable, easy on the eyes, easy to see, beautiful, pretty|Ai||||imoshinai|
813|wanted (to want)|Ai|Verb-based, linked to object by "ga" when used with desu verb.||||
814|warm|Ai||||suzushii, samui, tsumetai|atsui
815|warm (weather), hot (weather)|Ai|Used for weather and general heat.|||suzushii, samui, tsumetai|atatakai
816|weak, feeble|Ai||||tsuyoi, joubu|yowai, hiyowai, hiyowa yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa
817|weak, frail, delicate, tender, unskilled, weak (wine)|Ai||||tsuyoi, joubu|hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa
818|weak, frail, slender, feminine|Ai||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, kasuka, hijaku, yawa
819|weak, sickly|Ai||||tsuyoi, joubu|yowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa
820|weird, disgusting, sickening|Ai|||||
821|white|Ai|||||
822|broad|Ai||||semai|
823|wise, clever, smart|Ai|||||
824|wonderful|Ai|||||
825|yellow|Ai|||||
826|high-pitched (voice), shrill|Ai|||||
827|young, youthful|Ai||||furui|atarashii
828|absent-mindedly|A;M|||||
829|soft, fluffy|Ana|||||
830|again and again, repeatedly|A;M|||||
831|alone|A;M|||1286|futari de, issho ni, minna de|
832|anyhow, at any rate, anyway, somehow or other, generally speaking, in any case|A;M|||||
833|arbitrarily, of its own accord, involuntarily, willfully, willfully, as one pleases|A;M|||||
834|arduously, diligently, industriously|A;M|||||
835|badness, evilness|N;Abs|||||
836|both|A;M||||hitori de|issho ni, minna de
837|by oneself|A;M|||||
838|leisurely|A;M|||||
839|carefree, at leisure|A|||||
840|carelessly, thoughtlessly, inadvertently|A;M|||||
841|completely, entirely|A;M|||||
842|constantly, always, continually, steadily|A;M|||||
843|crunchily|A;M|||||
844|damply, moistly|A;M|||||
845|deliberately, carefully, without rushing|A;M|||||
846|diligently, seriously, earnestly, reliably, steadily, legitimately, perfectly, properly, exactly, orderly, punctually, regularly, sufficiently, satisfactorily, quickly|A;M|||||
847|dimly, vaguely, indistinctly, faintly, absentmindedly, vacantly, carelessly, idly, aimlessly|A;M|||||
848|fool, blockhead, dunce|N;Pe|||||
849|disappointedly, dejectedly|A;M|||||
850|feel disappointed, dejected, lose heart, feel emotionally drained, feel let down|A|||||
851|distantly, far|A;M|||221||
852|duly, naturally|A;M|||||
853|easily, readily, quickly|A;M|||||
854|every way|A;M||Always followed by affirmative verb.|||
855|no way|A;M||Always followed by negative verb.|||
856|thanks, thank you|CE|||||
857|everyone together|A;M|||635|hitori de|futari de, issho ni
858|fairly, impartially, justly|A;M|||||
859|reliable, steady|Ana|||||
860|firmness, tightness, reliability, level-headedness, steadiness|N;Abs|||||
861|foolishly, stupidly, idiotically, absurdly, ridiculously|A;M|||||
862|freely|A;M|||629||
863|glitteringly, sparklingly|A;M|||||
864|glitter, sparkle, twinkle|N;Ac|||||
865|progressively|A;M|||654||
866|grandly, boldly, confidently, fairly, squarely, unreservedly, without apology, without hesitation|A;M|||||
867|magnificent, grand, impressive, dignified, majestic, imposing, stately, fair, square, open|Aj|||||
868|happily|A;M|||||
869|hastily, hurriedly|A;M|||||
870|honest, frank|Ana|||||
871|honesty, integrity, frankness|N;Abs|||||
872|Shoujiki|N;Pl|||||
873|horizontally|A;M|||||
874|implicitly|A;M|||||
875|as such|A;M|||||
876|irrespective, without discrimination, without distinction|A;M|||||
877|leisurely, by taking time|A;M|||625||
878|slowly, at ease, restful|A|||||
879|like that (over there)|A;M|||||
880|like this|A;M||Use as response to "dou".|741||
881|luckily, fortunately|A;M|||||
882|happy, blessed, lucky, fortunate, felicitous|Ana|||||
883|happiness, blessedness, luck, fortune, felicity|N;Abs|||||
884|meanderingly, wonderingly, windingly, sinuously|A;M|||||
885|forever, endlessly, on and on|A;T|||||
886|newly, anew|A;M|||||
887|newly, freshly|A;M|||||
888|new, fresh, novel|Ana|||||atarashii
889|nonchalantly, without a care|A;M|||||
890|or cordial terms|A;M|||||
891|on purpose|A;M|||||
892|one by one, separately, every single, each and every|A;M|||||
893|originally, primarily, properly, legally|A;M|||||
894|original, primary|N;Abs|||||
895|essentially, naturally, by nature, in (and of) itself|A|||||
896|proper, legal|Ana|||||
897|ploppily, splashily, tumblingly|A;M|Onomatopeia||||
898|precisely, accurately|A;M|||||
899|precisely, accurately, neatly|A;M|||1345;1346||
900|prettily|A;M|||||
901|stretchily, with tension|A;M|||||
902|quietly, calmly, gently, peacefully|A;M|||||
903|really, truly|A;M|||||
904|really, truly|A;M|||||
905|in a scattered or dipersed fashion, loosely, disconnectedly, rustlingly|A;M|||||
906|scattered, disperse, loose, disconnected, in pieces, in drops, rustling|Ana|||||
907|separately, individually|A;M|||||
908|skillfully, aptly, well, cleverly|A;M|||||yoku, yoroshiku, jouzu ni
909|slowly, late|A;M||||hayaku|
910|soon, momentarily, before long, any time now|A;T|Mainly used to refer to an event that will be related to the subject of the sentence (usually a person).||1382||sugu
911|by slurping (noodles)|A;M|||||
912|softly, gently, quietly, secretly|A;M|||||
913|please, somehow or other|A|||||
914|soundly (asleep), fast (asleep)|A;M|||||
915|stealthily, secretly|A;M|||||
916|strongly|A;M|||||
917|thus, in this way|A;M|||||
918|tightly, closely|A;M|||||
919|exactly, precisely|A;M|||||
920|suddenly (stopping)|A;M|||||
921|perfectly (suited), ideally|A;M|||||
922|time and time again, many times, a number of times|A;M|||||
923|turning round and round, going around in circles, wrapped around|A;M|||||
924|unexpectedly, surprisingly|A;M|"igai ni" is used more in written Japanese, while "igai to" is more colloquial.||||
925|unintentionally, reflexively, spontaneously, involuntarily, instinctively|A;M|||||
926|against one's better judgment|A;M|||||
927|unintentionally, unconsciously, by mistake, against one's better judgement (judgment)|A|||||
928|very hard, with utmost effort, with all one's might, for dear life|A;M|||1353||
929|very hard, desperately hard, with utmost effort|Ana|||||
930|well, proficiently|A;M|||628||yoku, yoroshiku, umaku
931|well, properly, suitably|A;M|||||yoku, jouzu ni, umaku
932|much|A;T|||662||
933|nicely, properly, well, skillfully, skilfully|A|||630;102;1269||umaku, yoroshiku, jouzu ni
934|willingly|A;M|||||
935|with trouble, at great pains|A;M|||1386||
936|being (too) late, belated treatment|N;Abs|||||
937|rash|Ana|||||
938|absurdity, nonsense|N;Abs|||||
939|very, extremely, excessively|A|||||
940|punctual, authentic, veracious|Ana|||||
941|anxious, insecure, uneasy, in suspense|Ana|||||
942|anxiety, uneasiness, insecurity, suspense|N;Abs|||||
943|appearing like, seeming to be, being pregnant with|Ana|||||
944|at one's own convenience, in one's own way|Ana|||||
945|Katte|N;Pl|||||
946|automatic|Ana|||||
947|failing, defective|Ana|||||
948|badness, inferiority, delinquency, failure, defect, blemish|N;Abs|||||
949|big, great, grand, large, greater, upper, senior|Ana|||||
950|bloodstained, bloody|Ana|||||
951|downright (e.g. lie), complete, utter|Ana|||||
952|careless, stupid, thoughtless, heedless, unobservant, inadvertent, incautious|Ana|||||
953|reliable|Ana|||||
954|certainty, reliability, soundness|N;Abs|||||
955|I'm quite sure that, if I'm not mistaken, if I remember correctly|CE|||||
956|certainty, sure fact|N;Abs|||||
957|pure, virtuous, immaculate|Ana|||||
958|colourless, colorless, achromatic|Ana|||||
959|complex, complicated, mixed (feelings)|Ana||||kantan|
960|convenient, useful, comfortable, handy|Ana||||fuguai|
961|dangerous, risky, hazardous, perilous, precarious|Ana|||||
962|dazzling, ecstatic, delirious, engrossing, dreamy|Ana|||||
963|daze, trance, ecstasy, delirium, engrossment, dreamlike state|N;Abs|||||
964|deeply emotional|Ana|||||
965|deep emotion, one's mind is filled with thousand emotions|N;Abs|||||
966|unlucky, regretful|Ana|||||
967|bad luck, regret, disappointment|N;Abs|||||
968|desperate, hopeless|Ana|||||
969|diligent, serious, honest, sober, grave, earnest, steady|Ana|||||
970|least favorite|Ana|Verb-based, linked to object by "ga" when used with desu verb.|||suki, daisuki|daikirai
971|earnestness, eagerness, risking one's life|N;Abs|||||
972|equality, evenness, good match|N;Abs|||||
973|exactly, just, right|Ana|||||
974|exquisiteness, perfection, miraculousness|N;Abs|||||
975|faint, dim, weak, slight, vague, indistinct, hazy|Ana||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, hijaku, yawa
976|feeble, faint, weak|Ana||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, yawa
977|firm, unshakeable, resolute|Ana|||||
978|constancy, certainty|N;Abs|||||
979|fluttery|Ana|||||
980|clip-clop, clippety-clop|OI|||||
981|foolishness, stupidity|N;Abs|||||
982|idiotic|Ana|||||
983|fool, idiot|N;Pe|||||
984|foolish, stupid, dull, absurd, ridiculous|Ana|||||
985|frantic, desperate|Ana|||||
986|inevitable death, brinkmate (inevitable checkmate)|N;Abs|||||
987|free (available), not busy, slow (of one's business)|Ana||||isogashii|jiyuu
988|spare time, free time, leisure, time off, day off, vacation, holiday, leave, quitting (one's job), firing someone, divorcing (one's spouse)|N;Abs|||||
989|(of one's time) free, (of one's business) slow|Ana|||||
990|free (from confinement), unbound, unrestricted, in control|Ana||||不健康|hima
991|freedom, liberty, as it pleases you|N;Abs|||||
992|fresh|Ana|||||
993|full|Ana|||||
994|full, in plenty, ample|Ana|||||
995|funny, amusing, comical, laughable, ridiculous, strange, odd, peculiar, weird, unusual, eccentric, improper, unsuitable, unbecoming, suspicious|Ana|||||
996|futile|Ana|||||
997|futility, uselessness, pointlessness|N;Abs|||||
998|ghastly, gruesome, appalling, lurid|Ana|||||
999|glittering, sparkling|Ana|||||
1000|glitter, sparkle|N;Abs|||||
1001|great, grand, magnificent, outstanding, mighty|Ana||||hidoi|
1002|greatness|N;Abs|||||
1003|green|Ana|||||
1004|greenery (esp. fresh verdure)|N|||||
1005|grim, stern, stark, heartless|Ana|||||
1006|handy, simple and easy|Ana|||||
1007|happy, fortunate, lucky, blessed|Ana|||||
1008|hateful, unlikable, disgusting|Ana|||||
1009|fine, all right|Ana||||byouki, fukenkou|kenkouteki, joubu
1010|energy, stamina, vitality, vim, spirit, courage, pep, vigor, vigour, health|N;Abs|||||
1011|healthy, robust, strong, solid, durable, firm|Ana||||fukenkou|daijoubu
1012|healthy, sound, wholesome|Ana|||||
1013|high, noble, refined, advanced|Ana|||||
1014|the most|Ana|||||
1015|huge, gigantic, enormous|Ana|||||
1016|identity, sameness, similarity, equality, fairness|N;Abs|||||
1017|soon, in a short time, before long, shortly, immediately, right away, fast|A;T|||669;670;1364||sorosoro
1018|important, momentous, essential, principal, major|Ana|||||
1019|important, necessary, indispensable|Ana|||||daiji
1020|important, serious, crucial|Ana|||||taisetsu
1021|impossible|Ana|||||
1022|imprudent, quick tempered|Ana|||||
1023|imprudence, quick temper|N;Abs|||||
1024|in a good mood, in high spirits, happy, cheerful, merry, chipper|Ana|||||
1025|humour, humor, temper, mood, spirits, safety, health, well-being, one's situation|N;Abs|Honorific language.||||
1026|in high spirits|Ana|||||
1027|inconvenient|Ana||||benri|
1028|inconvenient, inexpedient, unhandy|Ana|||||
1029|inconvenience, inexpediency, unhandiness|N;Abs|||||
1030|indiscriminate|Ana|||||
1031|indiscrimination|N;Abs|||||
1032|infancy, infantilism|N;Abs|||||
1033|insane, mad, crazy, light in the head|Ana|||||
1034|invincible, unrivaled, unrivalled|Ana|||||
1035|unsteady, disorderly|Ana|||||
1036|irregularity, unsteadiness, disorder|N;Abs|||||
1037|Japanese-style|Ana|||||
1038|kind, gentle, considerate, generous, friendly, nice|Ana||||yasashii|fushinsetsu
1039|kindness, gentleness|N;Abs|||||
1040|large (grain, drop)|Ana|||||
1041|large grain, large drop|N;Abs|||||
1042|fond|Ana|Verb-based, linked to object by "ga" when used with desu verb.|||kirai, daikirai|daisuki
1043|lively, bustling, busy|Ana|||||
1044|long (time since the last time)|Ana|||||
1045|a long time (since the last time), it's been a while (since I last saw, mailed, etc., you)|N;Abs|||||
1046|long-term|Ana|||||
1047|dreamy, beautiful, capital|Ana|||||
1048|luxurious, extravagant|Ana|||||
1049|luxury, extravagance|N;Abs|||||
1050|magnificent, splendid, fine, handsome, elegant, imposing, prominent|Ana||||minikui|
1051|malicious, ill-tempered, unkind|Ana|||||
1052|maximum, extreme, utmost|Ana|||||
1053|curvature|N;MSE|||||
1054|modern|Ana|||||
1055|puzzling|Ana|||||
1056|mystery, inexplicable fact, incomprehensible fact|N;Abs|||||
1057|puzzling|Ana|||||
1058|wonder, miracle, mystery, marvel, curiosity|N;Abs|||||
1059|national|Ana|||||
1060|no good, not serving its purpose, useless, broken|Ana|||||
1061|only, merely, (a) little, small quantity|Ana|||||
1062|small quantity|N;Abs|||||
1063|exceeding, beyond|Ana|||||
1064|overcoat|N;Ati|||||
1065|overweight, fat, obese|Ana|||||
1066|overwhelming|Ana|||||
1067|painful, agonizing|Ana|||||
1068|pain, agony, bitterness|N;Abs|||||
1069|peaceful, tranquil, calm, restful|Ana|||||
1070|perfect, complete, flawless|Ana|||||
1071|physiological, physiologic|Ana|||||
1072|plain, frank, candid, open, direct, straightforward, unabashed, blatant, flagrant|Ana|||||
1073|pleasant, agreeable, comfortable|Ana||||ochisukanai|
1074|kind|Ana||||shitsurei|
1075|political|Ana|||||
1076|not one's cup of tea, not one's favorite|Ana|||||
1077|weakness (in), incompetence (in)|N|||||
1078|destitute|Ana||||okanemochi|mazushii
1079|poor person|IES|||||
1080|poverty, destitution|N;Abs|||||
1081|poorly-built, weak, insubstantial|Ana||||tsuyoi, joubu|yowai, hiyowai, hiyowa, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku
1082|popularity, popular feeling, business conditions|N;Abs|||||
1083|popular, prosperous, enthusiastic, energetic, vigorous|Ana|||||
1084|possible, potential, feasible, practicable|Ana|||||
1085|pouty, unpleasant, moody|Ana|||||
1086|displeasure, ill humor, ill humour, sullenness|N;Abs|||||
1087|powerful, strong|Ana||||tsuyoi|
1088|pretty, lovely, beautiful, fair, clean, clear, pure, tidy, neat|Ana|||||
1089|pulpy, soppy, sloppy|Ana|||||
1090|questionable, doubtful, suspicious|Ana|||||
1091|quite right|Ana|||||
1092|unprotected (not wearing a condom), live (not recorded)|Ana|||||
1093|raw, uncooked, fresh, natural, as is, unedited, unprocessed, live (i.e.. not recorded), inexperienced, unpolished, green, crude, unpasteurized|Ana|||||
1094|just a little, somehow, vaguely, partially, somewhat, half-, semi-, irresponsibly, half-baked|Px|||||
1095|unprotected (i.e. not wearing a condom)|Ana|||||
1096|irresponsibly, half-baked|Px|||||
1097|regrettable, vexing, upsetting, unthinkable, wholly unexpected|Ana|||||
1098|remaining, fraction of|Ana|||||
1099|remnant, fragment, incomplete set, fraction, odd sum, incompleteness|N;Abs|||||
1100|rich person|Ana||||mazushii, binbou|
1101|rich person|N;Pe|||||
1102|ride, discourteous|Ana||||teinei|
1103|impoliteness, rudeness, discourtesy|N;Abs|||||
1104|disrespectful, impertinent|Ana|||||
1105|rudeness, impoliteness, disrespect, impertinence|N;Abs|||||
1106|safe, secure, sound, problem-free, without fear, all right, alright, OK, okay|Ana||||fukenkou|joubu
1107|secure|Ana||||abunai|
1108|satisfied|Ana|||||
1109|sufficiency|N;MSE|||||
1110|serious|Ana|||||
1111|serious, important, significant, grave, weighty|Ana|||||
1112|simple, convenient, easy|Ana|||||
1113|simplicity, convenience, easiness, quasi-|N;Abs|||||
1114|simple, easy, straightforward, uncomplicated|Ana||||fukuzatsu, taihen|
1115|dexterity|N;Abs|||||
1116|skillful, skilled, proficient, good (at), adept, clever|Ana|Verb-based, linked to object by "ga" when used with desu verb.||367;620|heta|
1117|skinny|Ana|||||
1118|slight, little, insignificant|Ana|||||
1119|small, little, tiny|Ana|Only used in adj. + na + noun form||||
1120|so-so|Ana|||||
1121|special, particular, extraordinary, exceptional, especial|Ana||||futsuu|
1122|specialness|N;Abs|||||
1123|spiritual, incorporeal|Ana|||||
1124|praiseworthy act, commendable deed|N;Ac|||||
1125|stingy, miserly, penny-pinching, cheeseparing, shabby, mangy, poor, petty, narrow-minded, quibbling, mean-spirited|Ana|||||
1126|miser, pinchpenny, skinflint, cheapskate, tightwad, niggard, bad luck, ill omen, glitch|N;Abs|||||
1127|straight (ahead), direct, upright, erect|Ana|||||
1128|disorderly|Ana|||||
1129|strangeness, abnormality, disorder|N;Abs|||||
1130|unconventional, weird|Ana|||||
1131|something strange, something unusual|N;Abs|||||
1132|unusual, unconventional, weird|Ana|||||
1133|strange, queer, curious|Ana|||||
1134|unusual, unconventional|Ana|||||
1135|something superb, something excellent|N;Abs|||||
1136|tasteful, delicious, umami|Ana|||||
1137|tedious, boring|Ana|||||
1138|thankful, grateful|Ana|||||
1139|thanks, gratitude|N;Abs|||||
1140|thin (of paper, cloth, etc.), weak-bodied|Ana|||||
1141|tiny, little, wee|Ana|Alternative form of "chiisai".||||
